Quest_Name,Quest_Season,Duration_Total,Duration_Seconds,Min_Agents,Max_Agents,Quest_Type,PosAtt_1,PosAtt_2,PosAtt_3,PosAtt_4,PosAtt_5,NegAtt_1,NegAtt_2,NegAtt_3,NegAtt_4,NegAtt_5,Bonus_Chance,Mishap_Chance,Account1,Account2
Steal Yinderis the Snake Charmer's Jeweled Pipe,2,1:30,5400,1,1,1,Devoted,Tough,,,,Wise,,,,,10,5,,
The Golden Trowel,2,1:30,5400,1,1,1,Lucky,Cautious,,,,Unpredictable,,,,,10,5,,
The Jeweled Fez,2,2:00,7200,1,1,1,Cunning,,,,,Impatient,,,,,15,10,,
"Gaudralek, Sword of the Sky",3,10:00,36000,3,3,3,Adventurous,Inquisitive,Unpredictable,Persuasive,Compassionate,Shrewd,Tough,,,,20,30,,1
Eliminate Pantrilla,3,10:00,36000,3,3,3,Unpredictable,Shrewd,Daring,Cunning,Dexterous,Tough,Sly,,,,20,30,1,
Shield of the White Dragon,3,10:00,36000,3,3,3,Adventurous,Strong,Inquisitive,Stalwart,Courageous,Noble,Wise,,,,20,30,,1
The Queen's Trove,3,2:30,9000,2,2,2,Daring,Agile,Sly,Focused,,Noble,Adventurous,,,,10,5,1,1
The Vaults of El'Arad,3,3:30,12600,2,2,2,Unpredictable,Impatient,Courageous,,,Strong,Cunning,,,,15,10,1,
Save Gribbly the Gallant,3,2:30,9000,2,2,2,Unpredictable,Shrewd,Adventurous,Corrupt,,Tough,Wise,,,,10,5,1,1
The Crown of X'Haviz,3,2:30,9000,2,2,2,Daring,Inquisitive,Sly,Stalwart,,Impatient,Corrupt,,,,10,5,1,1
Eliminate the Enmity of Naar'Yora,3,,,2,2,2,Persuasive,Courageous,,,,Shrewd,Agile,,,,20,20,,1
Save Jabber Longwind from The Brood Matron,3,1:00,3600,1,1,1,Tough,Noble,,,,Adventureous,,,,,5,5,1,1
Steal the Reformation Trinket,3,1:00,3600,1,1,1,Shrewd,Daring,,,,Unpredictable,,,,,5,5,1,1
Eliminate Queen Bazzt Bzzt the 200th,3,1:00,3600,1,1,1,Daring,Inquisitive,,,,Adventureous,,,,,5,5,1,1
The Gloompall Gewgaw,3,1:30,5400,1,1,1,Unpredictable,Stalwart,,,,Corrupt,,,,,10,5,1,1
Rescue Constance Cloudpuff from Skymarshal Stormfeather,3,1:30,5400,1,1,1,Adventurous,Impatient,,,,Stalwart,,,,,10,5,1,
Pilfer the Beguiler's Gemmed Robe,3,1:30,5400,1,1,1,Inquisitive,Impatient,,,,Daring,,,,,10,5,1,1
Eliminate Konarr the Despoiler,3,1:30,5400,1,1,1,Daring,Stalwart,,,,Impatient,,,,,10,5,1,1
The Emblem of the Lost Gods,3,1:30,5400,1,1,1,Inquisitive,Cunning,,,,Honest,,,,,10,5,1,
